Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
JAPRES04DEL01,23.0,4.7,26.902328,75.794257,26.972328,75.864257,14-03-2022,0.916666667,22:10,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Urban,38
MYSRES04DEL01,32.0,4.7,12.3085,76.665808,12.3785,76.735808,16-03-2022,22:30,22:40,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23
MUMRES05DEL03,21.0,4.7,18.927584,72.832585,19.017584,72.922585,16-03-2022,17:35,17:40,Sandstorms,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,24
VADRES07DEL02,31.0,4.9,0.0,0.0,0.13,0.13,18-03-2022,22:55,23:10,Stormy,Low,2,Snack,scooter,1.0,No,Metropolitian,20
AGRRES12DEL03,32.0,4.7,-27.165108,78.015053,27.225108,78.075053,13-02-2022,20:55,21:10,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,31
CHENRES03DEL01,34.0,4.7,13.091809,80.219104,13.101809,80.229104,21-03-2022,10:10,10:20,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,29
COIMBRES13DEL02,24.0,4.8,11.003669,76.976494,11.083669,77.056494,12-03-2022,18:45,18:55,Fog,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,33
VADRES11DEL03,32.0,4.4,22.308096,73.167753,22.368096,73.227753,13-03-2022,22:10,22:20,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,28
RANCHIRES06DEL01,27.0,4.8,23.357804,85.325146,23.367804,85.335146,01-03-2022,08:50,0.375,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17
LUDHRES11DEL01,36.0,4.6,30.893081,75.821495,30.903081,75.831495,17-02-2022,09:20,09:35,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,25
PUNERES04DEL02,38.0,5.0,18.51421,73.838429,18.56421,73.888429,11-03-2022,18:35,18:50,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,25
KNPRES09DEL02,28.0,5.0,26.473698,80.352677,26.493698,80.372677,17-02-2022,10:50,10:55,Cloudy,Low,2,Snack,motorcycle,0.0,No,Urban,16
MYSRES05DEL01,23.0,4.6,12.323978,76.627961,12.363978,76.667961,09-03-2022,15:30,15:45,Windy,Medium,2,Buffet,scooter,1.0,No,Urban,28
CHENRES08DEL01,20.0,4.6,13.022394,80.242439,13.092394,80.312439,29-03-2022,19:15,19:20,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,30
PUNERES18DEL01,35.0,4.6,18.593481,73.785901,18.633481,73.825901,05-03-2022,15:45,15:55,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,25
INDORES09DEL03,21.0,4.8,22.725835,75.887648,22.785835,75.947648,03-04-2022,18:50,0.791666667,Windy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,25
LUDHRES03DEL01,37.0,3.5,30.88722,75.804893,30.99722,75.914893,18-02-2022,0.875,21:05,Sandstorms,Jam,1,Buffet,scooter,0.0,No,Urban,40
RANCHIRES16DEL01,27.0,4.4,23.371292,85.327872,23.441292,85.397872,25-03-2022,20:30,20:35,Cloudy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,43
RANCHIRES09DEL02,26.0,4.2,23.351058,85.325731,23.431058,85.405731,04-03-2022,20:30,20:40,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,32
AURGRES02DEL01,24.0,4.7,0.0,0.0,0.11,0.11,16-02-2022,22:15,22:30,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,19
HYDRES18DEL01,29.0,4.5,17.450851,78.379347,17.460851,78.389347,15-03-2022,10:40,10:50,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25
VADRES05DEL02,37.0,4.7,22.310526,73.170937,22.330526,73.190937,03-04-2022,08:15,08:30,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,28
AGRRES01DEL02,33.0,4.5,27.161661,78.011544,27.291661,78.141544,16-02-2022,23:15,23:25,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22
PUNERES13DEL03,25.0,4.8,18.56245,73.916619,18.65245,74.006619,06-03-2022,21:35,21:45,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,38
VADRES17DEL02,35.0,4.9,0.0,0.0,0.05,0.05,21-03-2022,23:35,23:40,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,11
RANCHIRES09DEL03,37.0,4.7,23.351058,85.325731,23.441058,85.415731,08-03-2022,22:20,22:30,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,18
BANGRES07DEL02,38.0,4.8,12.978453,77.643685,12.998453,77.663685,13-03-2022,08:20,08:30,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28
INDORES09DEL02,27.0,4.6,22.725835,75.887648,22.805835,75.967648,02-04-2022,17:10,17:25,Fog,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,32
KOCRES18DEL01,28.0,4.6,9.957144,76.296783,9.997144,76.336783,15-02-2022,13:55,14:10,Cloudy,High,1,Meal,scooter,1.0,No,Metropolitian,20
BANGRES15DEL02,20.0,4.6,12.975377,77.696664,12.995377,77.716664,01-03-2022,0.416666667,10:05,Fog,Low,1,Meal,motorcycle,0.0,No,Metropolitian,13
JAPRES010DEL01,30.0,4.2,26.921411,75.793604,26.931411,75.803604,03-04-2022,10:40,10:55,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,32
JAPRES05DEL02,34.0,5.0,26.905287,75.794592,26.955287,75.844592,15-03-2022,18:30,18:45,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Urban,31
MUMRES02DEL03,30.0,4.6,19.221315,72.862381,19.311315,72.952381,18-03-2022,0.791666667,19:05,Cloudy,Medium,0,Buffet,motorcycle,2.0,Yes,Metropolitian,49
BANGRES04DEL01,28.0,4.6,12.98041,77.640489,13.09041,77.750489,12-03-2022,18:50,18:55,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,18
GOARES04DEL02,25.0,4.5,15.5696,73.742294,15.6996,73.872294,18-02-2022,20:10,20:15,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,20
HYDRES04DEL02,34.0,4.9,17.411028,78.329645,17.461028,78.379645,13-03-2022,19:15,19:25,Fog,Jam,2,Snack,scooter,1.0,No,Urban,35
CHENRES11DEL02,38.0,4.7,13.064181,80.236442,13.114181,80.286442,13-03-2022,1,24:10:00,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,29
AGRRES20DEL01,39.0,4.8,27.158822,78.045359,27.168822,78.055359,17-02-2022,08:50,08:55,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,29
KOCRES06DEL01,23.0,4.9,9.982834,76.283268,9.992834,76.293268,11-02-2022,09:15,09:20,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,24
PUNERES11DEL02,32.0,4.8,18.533811,73.899315,18.613811,73.979315,04-03-2022,23:50,24:05:00,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,20
MUMRES05DEL01,29.0,4.8,18.927584,72.832585,18.997584,72.902585,02-03-2022,19:25,19:35,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,21
LUDHRES18DEL03,20.0,4.7,30.890184,75.829615,30.920184,75.859615,13-02-2022,0.75,18:05,Sunny,Medium,2,Buffet,motorcycle,0.0,No,Urban,10
PUNERES14DEL01,35.0,4.7,18.516216,73.842527,18.556216,73.882527,17-03-2022,13:10,13:15,Cloudy,High,2,Buffet,motorcycle,2.0,No,Metropolitian,34
RANCHIRES19DEL02,26.0,4.1,23.333017,85.3172,23.413017,85.3972,06-04-2022,17:40,17:55,Cloudy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,35
RANCHIRES04DEL02,39.0,4.0,23.359033,85.325347,23.379033,85.345347,05-04-2022,08:10,08:15,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,31
INDORES05DEL02,23.0,4.9,22.727021,75.884167,22.857021,76.014167,14-03-2022,17:40,17:50,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,24
JAPRES18DEL03,26.0,4.8,26.913987,75.752891,27.003987,75.842891,06-03-2022,20:35,20:50,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,21
VADRES20DEL03,29.0,4.1,22.311358,73.164798,22.341358,73.194798,13-03-2022,19:45,0.833333333,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,42
RANCHIRES20DEL03,33.0,4.2,23.39925,85.390464,23.42925,85.420464,01-03-2022,23:40,23:55,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,21
PUNERES17DEL01,34.0,4.5,18.530963,73.828972,18.640963,73.938972,31-03-2022,22:50,23:05,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25
COIMBRES07DEL01,21.0,4.2,10.96185,76.971082,11.07185,77.081082,10-03-2022,19:30,19:45,Stormy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,39
PUNERES03DEL02,27.0,4.9,18.554382,73.798206,18.684382,73.928206,14-03-2022,23:20,23:35,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,28
KNPRES13DEL01,21.0,4.6,-26.481547,80.299775,26.551547,80.369775,14-02-2022,19:30,19:45,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,31
ALHRES09DEL02,32.0,4.6,0.0,0.0,0.05,0.05,17-02-2022,17:10,17:15,Fog,Medium,1,Meal,scooter,1.0,No,Urban,16
DEHRES03DEL01,20.0,4.9,30.335259,78.053162,30.445259,78.163162,18-02-2022,17:30,17:40,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,26
VADRES05DEL02,37.0,5.0,22.310526,73.170937,22.440526,73.300937,02-03-2022,17:55,18:10,Sunny,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,28
RANCHIRES07DEL03,37.0,4.7,23.359407,85.325055,23.389407,85.355055,21-03-2022,20:35,20:50,Sunny,Jam,1,Snack,scooter,1.0,No,Urban,18
BANGRES06DEL02,33.0,4.3,12.979096,77.640625,13.109096,77.770625,04-03-2022,19:55,20:05,Stormy,Jam,1,Buffet,scooter,0.0,No,Urban,43
BANGRES06DEL02,26.0,4.8,12.979096,77.640625,13.029096,77.690625,13-03-2022,1,24:10:00,Cloudy,Low,2,Snack,motorcycle,0.0,No,Urban,13
CHENRES20DEL03,39.0,4.3,12.975996,80.221898,13.005996,80.251898,01-03-2022,0.916666667,22:10,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35
PUNERES04DEL02,29.0,4.7,18.51421,73.838429,18.59421,73.918429,27-03-2022,18:35,18:45,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,20
COIMBRES16DEL02,27.0,4.9,11.010375,76.95295,11.140375,77.08295,23-03-2022,20:20,20:25,Fog,Jam,0,Drinks,motorcycle,1.0,No,Urban,47
BHPRES11DEL01,39.0,4.8,23.233219,77.433571,23.303219,77.503571,16-02-2022,23:25,23:30,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,26
BHPRES010DEL02,22.0,4.9,23.266261,77.379605,23.316261,77.429605,11-02-2022,18:30,18:45,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,19
KNPRES11DEL02,22.0,4.8,26.474986,80.342796,26.524986,80.392796,13-02-2022,20:50,0.875,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,13
COIMBRES04DEL01,30.0,5.0,11.024839,77.007003,11.064839,77.047003,01-03-2022,13:55,0.583333333,Sunny,High,0,Snack,motorcycle,0.0,No,Urban,21
COIMBRES02DEL02,24.0,5.0,11.022477,76.995667,11.152477,77.125667,10-03-2022,21:20,21:25,Sunny,Jam,1,Snack,scooter,0.0,No,Urban,10
MYSRES13DEL02,30.0,4.1,12.310972,76.659264,12.440972,76.789264,16-03-2022,21:20,21:25,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,50
INDORES13DEL01,23.0,4.0,22.745049,75.892471,22.815049,75.962471,16-03-2022,19:30,19:40,Cloudy,Jam,1,Snack,scooter,1.0,No,Urban,39
PUNERES18DEL02,27.0,4.7,18.593481,73.785901,18.613481,73.805901,19-03-2022,11:20,11:25,Fog,High,2,Buffet,electric_scooter,1.0,No,Metropolitian,30
SURRES19DEL01,25.0,4.6,21.149669,72.772629,21.219669,72.842629,04-04-2022,23:10,23:15,Stormy,Low,2,Buffet,motorcycle,1.0,No,Urban,19
COIMBRES11DEL01,33.0,4.3,11.001753,76.986241,11.071753,77.056241,04-03-2022,23:55,24:05:00,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,38
MUMRES15DEL03,20.0,4.7,19.176269,72.836721,19.236269,72.896721,26-03-2022,17:30,17:45,Cloudy,Medium,2,Snack,scooter,1.0,No,Urban,12
VADRES18DEL01,37.0,4.7,0.0,0.0,0.11,0.11,04-03-2022,23:30,23:40,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,17
BHPRES01DEL01,28.0,5.0,23.211529,77.419399,23.321529,77.529399,12-02-2022,18:35,18:45,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,15
COIMBRES02DEL01,36.0,4.1,11.022477,76.995667,11.132477,77.105667,25-03-2022,17:25,17:35,Stormy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39
BANGRES08DEL01,31.0,4.7,12.906229,77.596791,12.976229,77.666791,12-03-2022,23:30,23:45,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21
RANCHIRES03DEL02,23.0,4.8,0.0,0.0,0.08,0.08,29-03-2022,18:30,18:35,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,31
ALHRES09DEL03,32.0,4.8,0.0,0.0,0.03,0.03,15-02-2022,20:35,20:50,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,29
RANCHIRES03DEL03,36.0,4.6,0.0,0.0,0.09,0.09,23-03-2022,22:50,0.958333333,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,24
MYSRES08DEL02,30.0,4.8,12.297954,76.665169,12.377954,76.745169,06-03-2022,20:15,20:20,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Urban,28
MUMRES17DEL01,39.0,4.6,19.121999,72.908493,19.191999,72.978493,16-03-2022,17:35,17:45,Fog,Medium,1,Drinks,scooter,1.0,No,Metropolitian,40
SURRES05DEL01,20.0,4.9,21.175104,72.804342,21.185104,72.814342,13-03-2022,0.458333333,11:15,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,21
CHENRES11DEL03,26.0,2.7,13.064181,80.236442,13.154181,80.326442,20-03-2022,22:30,22:35,Sunny,Low,2,Snack,scooter,0.0,No,Metropolitian,32
JAPRES09DEL02,23.0,4.6,26.911378,75.789034,27.041378,75.919034,31-03-2022,23:55,24:10:00,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,19
MUMRES17DEL01,26.0,4.3,19.121999,72.908493,19.131999,72.918493,05-04-2022,10:40,10:55,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,25
SURRES16DEL03,38.0,4.7,21.160437,72.774209,21.220437,72.834209,21-03-2022,22:30,22:35,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29
HYDRES04DEL02,35.0,4.6,17.411028,78.329645,17.461028,78.379645,01-03-2022,17:35,17:50,Windy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,28
COIMBRES20DEL02,29.0,4.7,10.994136,76.963303,11.014136,76.983303,01-04-2022,11:40,11:50,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,28
JAPRES17DEL03,35.0,4.9,26.892312,75.806896,27.032312,75.946896,18-03-2022,23:55,24:05:00,Stormy,Low,1,Meal,scooter,0.0,No,Metropolitian,29
MUMRES14DEL01,26.0,4.6,19.1813,72.836191,19.2913,72.946191,14-03-2022,21:35,21:45,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,27
JAPRES18DEL02,30.0,4.1,26.913987,75.752891,26.963987,75.802891,19-03-2022,21:25,21:40,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,34
COIMBRES18DEL02,23.0,4.7,11.02091,76.940432,11.04091,76.960432,03-03-2022,08:30,08:35,Sunny,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,19
HYDRES010DEL02,26.0,4.9,17.428294,78.404423,17.448294,78.424423,13-03-2022,11:50,11:55,Stormy,High,1,Buffet,motorcycle,1.0,No,Urban,21
HYDRES11DEL02,31.0,4.4,17.430448,78.418213,17.480448,78.468213,01-04-2022,21:25,21:35,Sandstorms,Jam,2,Snack,scooter,1.0,No,Metropolitian,34
SURRES16DEL01,34.0,4.9,21.160437,72.774209,21.170437,72.784209,17-03-2022,10:55,11:05,Windy,Low,1,Drinks,scooter,0.0,No,Metropolitian,24
VADRES06DEL01,28.0,4.8,22.31279,73.170283,22.35279,73.210283,28-03-2022,15:30,15:45,Cloudy,Medium,2,Meal,electric_scooter,0.0,No,Urban,15
VADRES14DEL01,39.0,4.2,22.311603,73.165012,22.351603,73.205012,24-03-2022,13:45,0.583333333,Stormy,High,1,Drinks,scooter,1.0,No,Metropolitian,33
KOLRES08DEL01,33.0,4.7,22.53796,88.349843,22.64796,88.459843,16-02-2022,18:25,18:30,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,38
HYDRES07DEL01,22.0,4.9,17.424114,78.347554,17.494114,78.417554,02-03-2022,19:35,19:50,Windy,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,19
RANCHIRES12DEL01,38.0,4.8,0.0,0.0,0.01,0.01,03-03-2022,10:20,10:35,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,21
MYSRES04DEL02,22.0,4.5,12.3085,76.665808,12.3585,76.715808,03-03-2022,21:35,21:45,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Urban,21
CHENRES16DEL03,27.0,4.8,13.049645,80.242268,13.079645,80.272268,19-03-2022,23:50,24:05:00,Stormy,Low,1,Buffet,scooter,0.0,No,Metropolitian,18
SURRES12DEL01,31.0,3.8,21.183434,72.814492,21.293434,72.924492,23-03-2022,20:40,20:50,Windy,Jam,2,Buffet,scooter,1.0,No,Urban,37
HYDRES13DEL01,23.0,4.7,17.431477,78.40035,17.501477,78.47035,25-03-2022,17:45,0.75,Sunny,Medium,1,Buffet,scooter,1.0,No,Urban,15
PUNERES15DEL01,33.0,5.0,18.636215,73.751081,18.746215,73.861081,18-03-2022,20:20,20:30,Sunny,Jam,1,Drinks,scooter,0.0,No,Metropolitian,28
AURGRES19DEL01,22.0,4.8,19.866969,75.318894,19.976969,75.428894,18-02-2022,22:45,0.958333333,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16
BANGRES06DEL01,37.0,3.9,12.979096,77.640625,13.089096,77.750625,02-03-2022,1,24:05:00,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,32
SURRES11DEL01,34.0,3.8,21.157735,72.768778,21.267735,72.878778,06-03-2022,23:55,24:05:00,Fog,Low,1,Meal,scooter,1.0,No,Urban,32
ALHRES14DEL01,34.0,4.5,25.459775,81.834841,25.529775,81.904841,12-02-2022,19:40,19:45,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,33
HYDRES16DEL03,38.0,4.6,17.440827,78.393391,17.530827,78.483391,10-03-2022,0.958333333,23:10,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,25
MYSRES010DEL02,33.0,4.9,12.321214,76.621094,12.341214,76.641094,15-03-2022,08:15,08:30,Sunny,Low,2,Meal,motorcycle,0.0,No,Metropolitian,14
DEHRES06DEL02,35.0,4.7,30.361281,78.068022,30.411281,78.118022,17-02-2022,20:30,20:40,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,25
COIMBRES06DEL01,20.0,4.7,11.021278,76.995017,11.131278,77.105017,06-03-2022,23:50,23:55,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,21
LUDHRES06DEL01,24.0,5.0,30.895204,75.822103,30.965204,75.892103,14-02-2022,0.875,21:10,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,45
MYSRES02DEL02,29.0,4.8,12.304569,76.643622,12.354569,76.693622,17-03-2022,22:45,0.958333333,Sunny,Low,1,Snack,scooter,1.0,No,Metropolitian,23
AGRRES06DEL03,25.0,4.9,0.0,0.0,0.09,0.09,14-02-2022,17:50,18:05,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,15
COIMBRES18DEL01,25.0,4.7,11.02091,76.940432,11.09091,77.010432,18-03-2022,23:30,23:40,Stormy,Low,2,Snack,scooter,0.0,No,Metropolitian,19
VADRES02DEL02,30.0,4.2,0.0,0.0,0.02,0.02,24-03-2022,08:25,08:35,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,32
KNPRES02DEL01,31.0,3.5,26.471617,80.313564,26.541617,80.383564,14-02-2022,17:30,17:45,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Urban,38
HYDRES03DEL01,27.0,4.7,17.422819,78.449578,17.432819,78.459578,13-03-2022,10:40,10:45,Sunny,Low,0,Buffet,motorcycle,1.0,No,Urban,11
SURRES010DEL02,22.0,5.0,21.17106,72.789292,21.22106,72.839292,19-03-2022,23:35,23:50,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11
SURRES02DEL02,38.0,4.4,21.186608,72.794136,21.266608,72.874136,25-03-2022,19:25,19:40,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,31
SURRES06DEL01,36.0,4.3,21.185047,72.80859,21.195047,72.81859,03-03-2022,09:15,09:20,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23
VADRES010DEL02,25.0,4.6,22.310329,73.169083,22.390329,73.249083,08-03-2022,21:45,21:55,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,37
LUDHRES04DEL02,34.0,4.3,30.914057,75.83982,31.044057,75.96982,14-02-2022,19:20,19:35,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,41
BANGRES010DEL01,31.0,4.6,12.933298,77.614293,12.973298,77.654293,17-03-2022,0.666666667,16:15,Windy,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,27
RANCHIRES18DEL02,38.0,4.7,23.351489,85.324253,23.481489,85.454253,08-03-2022,21:30,21:45,Sunny,Jam,2,Drinks,scooter,0.0,No,Metropolitian,19
CHENRES07DEL03,37.0,4.6,13.081878,80.248519,13.171878,80.338519,12-03-2022,17:45,17:50,Sandstorms,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,22
AGRRES14DEL03,39.0,4.7,27.16185,78.040165,27.22185,78.100165,11-02-2022,21:25,21:40,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,31
CHENRES11DEL03,23.0,4.9,13.064181,80.236442,13.124181,80.296442,01-04-2022,17:40,17:55,Sandstorms,Medium,2,Buffet,scooter,0.0,No,Metropolitian,23
CHENRES13DEL02,33.0,5.0,13.027018,80.254791,13.077018,80.304791,09-03-2022,18:50,19:05,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27
KOCRES06DEL02,26.0,4.8,9.982834,76.283268,10.002834,76.303268,15-02-2022,10:40,10:50,Fog,Low,1,Meal,motorcycle,1.0,No,Urban,19
RANCHIRES06DEL03,21.0,4.7,23.357804,85.325146,23.387804,85.355146,19-03-2022,17:30,17:40,Fog,Medium,1,Drinks,scooter,0.0,No,Metropolitian,16
CHENRES01DEL02,28.0,4.6,13.005801,80.250744,13.135801,80.380744,06-03-2022,21:55,22:05,Windy,Jam,1,Buffet,scooter,1.0,No,Urban,29
VADRES11DEL02,35.0,4.5,22.308096,73.167753,22.438096,73.297753,14-03-2022,20:45,20:50,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,32
DEHRES04DEL01,39.0,4.9,30.340722,78.060221,30.350722,78.070221,15-02-2022,10:50,0.458333333,Sandstorms,Low,1,Snack,scooter,1.0,No,Metropolitian,20
LUDHRES010DEL02,27.0,5.0,30.89286,75.822199,30.94286,75.872199,13-02-2022,20:10,20:15,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,10
CHENRES05DEL03,37.0,4.1,13.058616,80.264151,13.088616,80.294151,13-03-2022,20:40,20:55,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,38
